Accession	Division
Acyrthosiphon_pisum	Metazoa
Adineta_vaga	Metazoa
Aedes_aegypti	Metazoa
Amphimedon_queenslandica	Metazoa
Anopheles_darlingi	Metazoa
Anopheles_gambiae	Metazoa
Anoplophora_glabripennis	Metazoa
Apis_mellifera	Metazoa
Atta_cephalotes	Metazoa
Belgica_antarctica	Metazoa
Bombus_impatiens	Metazoa
Bombus_terrestris	Metazoa
Bombyx_mori	Metazoa
Branchiostoma_lanceolatum	Metazoa
Brugia_malayi	Metazoa
Caenorhabditis_brenneri	Metazoa
Caenorhabditis_briggsae	Metazoa
Caenorhabditis_elegans	Metazoa
Caenorhabditis_japonica	Metazoa
Caenorhabditis_remanei	Metazoa
Capitella_teleta	Metazoa
Crassostrea_gigas	Metazoa
Culex_quinquefasciatus	Metazoa
Culicoides_sonorensis	Metazoa
Danaus_plexippus	Metazoa
Daphnia_magna	Metazoa
Daphnia_pulex	Metazoa
Dendroctonus_ponderosae	Metazoa
Dinothrombium_tinctorium	Metazoa
Drosophila_ananassae	Metazoa
Drosophila_erecta	Metazoa
Drosophila_grimshawi	Metazoa
Drosophila_melanogaster	Metazoa
Drosophila_mojavensis	Metazoa
Drosophila_persimilis	Metazoa
Drosophila_pseudoobscura	Metazoa
Drosophila_sechellia	Metazoa
Drosophila_simulans	Metazoa
Drosophila_virilis	Metazoa
Drosophila_willistoni	Metazoa
Drosophila_yakuba	Metazoa
Folsomia_candida	Metazoa
Heliconius_melpomene	Metazoa
Helobdella_robusta	Metazoa
Hofstenia_miamia	Metazoa
Ixodes_scapularis	Metazoa
Lepeophtheirus_salmonis	Metazoa
Leptotrombidium_deliense	Metazoa
Lingula_anatina	Metazoa
Loa_loa	Metazoa
Lottia_gigantea	Metazoa
Lucilia_cuprina	Metazoa
Mayetiola_destructor	Metazoa
Megaselia_scalaris	Metazoa
Melitaea_cinxia	Metazoa
Mnemiopsis_leidyi	Metazoa
Nasonia_vitripennis	Metazoa
Nematostella_vectensis	Metazoa
Onchocerca_volvulus	Metazoa
Orchesella_cincta	Metazoa
Pediculus_humanus	Metazoa
Pristionchus_pacificus	Metazoa
Rhodnius_prolixus	Metazoa
Sarcoptes_scabiei	Metazoa
Schistosoma_mansoni	Metazoa
Solenopsis_invicta	Metazoa
Stegodyphus_mimosarum	Metazoa
Strigamia_maritima	Metazoa
Strongylocentrotus_purpuratus	Metazoa
Strongyloides_ratti	Metazoa
Teleopsis_dalmanni	Metazoa
Tetranychus_urticae	Metazoa
Thelohanellus_kitauei	Metazoa
Tribolium_castaneum	Metazoa
Trichinella_spiralis	Metazoa
Trichoplax_adhaerens	Metazoa
Zootermopsis_nevadensis	Metazoa
Actinidia_chinensis.Hongyang	Plant
Actinidia_chinensis.Red5	Plant
Aegilops_tauschii	Plant
Amborella_trichopoda	Plant
Ananas_bracteatus.CB5	Plant
Ananas_bracteatus.F153	Plant
Ananas_bracteatus	Plant
Arabidopsis_halleri	Plant
Arabidopsis_lyrata	Plant
Arabidopsis_thaliana	Plant
Asparagus_officinalis	Plant
Beta_vulgaris	Plant
Brachypodium_distachyon	Plant
Brassica_napus	Plant
Brassica_oleracea	Plant
Brassica_rapa	Plant
Cajanus_cajan	Plant
Camelina_sativa	Plant
Castanea_mollissima	Plant
Cerasus_x_yedoensis	Plant
Chlamydomonas_reinhardtii	Plant
Chondrus_crispus	Plant
Citrullus_lanatus.97103	Plant
Citrullus_lanatus.Charleston_Gray	Plant
Corchorus_capsularis	Plant
Cucumis_melo	Plant
Cucumis_sativus.ChineseLong	Plant
Cucumis_sativus.PI183967	Plant
Cucurbita_argyrosperma	Plant
Cucurbita_maxima	Plant
Cucurbita_moschata	Plant
Cucurbita_pepo	Plant
Cyanidioschyzon_merolae	Plant
Daucus_carota	Plant
Dichanthelium_oligosanthes	Plant
Dioscorea_rotundata	Plant
Elaeis_guineensis	Plant
Eucalyptus_grandis	Plant
Eucommia_ulmoides	Plant
Fragaria_iinumae	Plant
Fragaria_nipponica	Plant
Fragaria_nubicola	Plant
Fragaria_orientalis	Plant
Fragaria_vesca	Plant
Fragaria_x_ananassa	Plant
Galdieria_sulphuraria	Plant
Gastrodia_elata	Plant
Glycine_max.Williams_82	Plant
Glycine_max.Zhonghuang_13	Plant
Helianthus_annuus	Plant
Klebsormidium_flaccidum	Plant
Leersia_perrieri	Plant
Lupinus_angustifolius	Plant
Malus_x_domestica.GDDH13	Plant
Malus_x_domestica.HFTH1	Plant
Manihot_esculenta	Plant
Medicago_truncatula	Plant
Musa_acuminata.Banksii	Plant
Musa_acuminata.Calcutta4	Plant
Musa_acuminata.Pahang	Plant
Musa_acuminata.Zebrina	Plant
Musa_balbisiana	Plant
Musa_itinerans	Plant
Musa_schizocarpa	Plant
Nicotiana_attenuata	Plant
Nymphaea_colorata	Plant
Olea_europaea	Plant
Oryza_barthii	Plant
Oryza_brachyantha	Plant
Oryza_glaberrima	Plant
Oryza_glumaepatula	Plant
Oryza_granulata	Plant
Oryza_longistaminata	Plant
Oryza_meridionalis	Plant
Oryza_nivara	Plant
Oryza_punctata	Plant
Oryza_rufipogon	Plant
Oryza_sativa.93-11	Plant
Oryza_sativa.DJ123	Plant
Oryza_sativa.IR64	Plant
Oryza_sativa.IR8	Plant
Oryza_sativa.MH63	Plant
Oryza_sativa.N22	Plant
Oryza_sativa.Nipponbare	Plant
Oryza_sativa.PA64s	Plant
Oryza_sativa.R498	Plant
Oryza_sativa.ZH11	Plant
Oryza_sativa.ZS97	Plant
Ostreococcus_lucimarinus	Plant
