Genome	Division	nhr_file	nin_file	nsq_file
Acyrthosiphon_pisum	Invertebrate metazoa	<a href='LIRBase_blastdb/Acyrthosiphon_pisum.nhr' target='_blank'>Acyrthosiphon_pisum.nhr</a>	<a href='LIRBase_blastdb/Acyrthosiphon_pisum.nin' target='_blank'>Acyrthosiphon_pisum.nin</a>	<a href='LIRBase_blastdb/Acyrthosiphon_pisum.nsq' target='_blank'>Acyrthosiphon_pisum.nsq</a>
Adineta_vaga	Invertebrate metazoa	<a href='LIRBase_blastdb/Adineta_vaga.nhr' target='_blank'>Adineta_vaga.nhr</a>	<a href='LIRBase_blastdb/Adineta_vaga.nin' target='_blank'>Adineta_vaga.nin</a>	<a href='LIRBase_blastdb/Adineta_vaga.nsq' target='_blank'>Adineta_vaga.nsq</a>
Aedes_aegypti	Invertebrate metazoa	<a href='LIRBase_blastdb/Aedes_aegypti.nhr' target='_blank'>Aedes_aegypti.nhr</a>	<a href='LIRBase_blastdb/Aedes_aegypti.nin' target='_blank'>Aedes_aegypti.nin</a>	<a href='LIRBase_blastdb/Aedes_aegypti.nsq' target='_blank'>Aedes_aegypti.nsq</a>
Amphimedon_queenslandica	Invertebrate metazoa	<a href='LIRBase_blastdb/Amphimedon_queenslandica.nhr' target='_blank'>Amphimedon_queenslandica.nhr</a>	<a href='LIRBase_blastdb/Amphimedon_queenslandica.nin' target='_blank'>Amphimedon_queenslandica.nin</a>	<a href='LIRBase_blastdb/Amphimedon_queenslandica.nsq' target='_blank'>Amphimedon_queenslandica.nsq</a>
Anopheles_darlingi	Invertebrate metazoa	<a href='LIRBase_blastdb/Anopheles_darlingi.nhr' target='_blank'>Anopheles_darlingi.nhr</a>	<a href='LIRBase_blastdb/Anopheles_darlingi.nin' target='_blank'>Anopheles_darlingi.nin</a>	<a href='LIRBase_blastdb/Anopheles_darlingi.nsq' target='_blank'>Anopheles_darlingi.nsq</a>
Anopheles_gambiae	Invertebrate metazoa	<a href='LIRBase_blastdb/Anopheles_gambiae.nhr' target='_blank'>Anopheles_gambiae.nhr</a>	<a href='LIRBase_blastdb/Anopheles_gambiae.nin' target='_blank'>Anopheles_gambiae.nin</a>	<a href='LIRBase_blastdb/Anopheles_gambiae.nsq' target='_blank'>Anopheles_gambiae.nsq</a>
Anoplophora_glabripennis	Invertebrate metazoa	<a href='LIRBase_blastdb/Anoplophora_glabripennis.nhr' target='_blank'>Anoplophora_glabripennis.nhr</a>	<a href='LIRBase_blastdb/Anoplophora_glabripennis.nin' target='_blank'>Anoplophora_glabripennis.nin</a>	<a href='LIRBase_blastdb/Anoplophora_glabripennis.nsq' target='_blank'>Anoplophora_glabripennis.nsq</a>
Apis_mellifera	Invertebrate metazoa	<a href='LIRBase_blastdb/Apis_mellifera.nhr' target='_blank'>Apis_mellifera.nhr</a>	<a href='LIRBase_blastdb/Apis_mellifera.nin' target='_blank'>Apis_mellifera.nin</a>	<a href='LIRBase_blastdb/Apis_mellifera.nsq' target='_blank'>Apis_mellifera.nsq</a>
Atta_cephalotes	Invertebrate metazoa	<a href='LIRBase_blastdb/Atta_cephalotes.nhr' target='_blank'>Atta_cephalotes.nhr</a>	<a href='LIRBase_blastdb/Atta_cephalotes.nin' target='_blank'>Atta_cephalotes.nin</a>	<a href='LIRBase_blastdb/Atta_cephalotes.nsq' target='_blank'>Atta_cephalotes.nsq</a>
Belgica_antarctica	Invertebrate metazoa	<a href='LIRBase_blastdb/Belgica_antarctica.nhr' target='_blank'>Belgica_antarctica.nhr</a>	<a href='LIRBase_blastdb/Belgica_antarctica.nin' target='_blank'>Belgica_antarctica.nin</a>	<a href='LIRBase_blastdb/Belgica_antarctica.nsq' target='_blank'>Belgica_antarctica.nsq</a>
