Accession	Division
Aedes_aegypti (CDS + UTR)	Metazoa
Anopheles_gambiae (CDS + UTR)	Metazoa
Apis_mellifera (CDS + UTR)	Metazoa
Belgica_antarctica (CDS + UTR)	Metazoa
Bombus_terrestris (CDS + UTR)	Metazoa
Brugia_malayi (CDS + UTR)	Metazoa
Caenorhabditis_brenneri (CDS + UTR)	Metazoa
Caenorhabditis_briggsae (CDS + UTR)	Metazoa
Caenorhabditis_elegans (CDS + UTR)	Metazoa
Culex_quinquefasciatus (CDS + UTR)	Metazoa
Danaus_plexippus (CDS + UTR)	Metazoa
Daphnia_magna (CDS + UTR)	Metazoa
Dendroctonus_ponderosae (CDS + UTR)	Metazoa
Dinothrombium_tinctorium (CDS + UTR)	Metazoa
Drosophila_ananassae (CDS + UTR)	Metazoa
Drosophila_melanogaster (CDS + UTR)	Metazoa
Drosophila_mojavensis (CDS + UTR)	Metazoa
Drosophila_pseudoobscura (CDS + UTR)	Metazoa
Drosophila_sechellia (CDS + UTR)	Metazoa
Drosophila_simulans (CDS + UTR)	Metazoa
Drosophila_willistoni (CDS + UTR)	Metazoa
Drosophila_yakuba (CDS + UTR)	Metazoa
Folsomia_candida (CDS + UTR)	Metazoa
Heliconius_melpomene (CDS + UTR)	Metazoa
Ixodes_scapularis (CDS + UTR)	Metazoa
Lepeophtheirus_salmonis (CDS + UTR)	Metazoa
Lingula_anatina (CDS + UTR)	Metazoa
Loa_loa (CDS + UTR)	Metazoa
Lottia_gigantea (CDS + UTR)	Metazoa
Mayetiola_destructor (CDS + UTR)	Metazoa
Megaselia_scalaris (CDS + UTR)	Metazoa
Nasonia_vitripennis (CDS + UTR)	Metazoa
Nematostella_vectensis (CDS + UTR)	Metazoa
Onchocerca_volvulus (CDS + UTR)	Metazoa
Orchesella_cincta (CDS + UTR)	Metazoa
Pediculus_humanus (CDS + UTR)	Metazoa
Pristionchus_pacificus (CDS + UTR)	Metazoa
Schistosoma_mansoni (CDS + UTR)	Metazoa
Solenopsis_invicta (CDS + UTR)	Metazoa
Stegodyphus_mimosarum (CDS + UTR)	Metazoa
Strigamia_maritima (CDS + UTR)	Metazoa
Strongyloides_ratti (CDS + UTR)	Metazoa
Teleopsis_dalmanni (CDS + UTR)	Metazoa
Tetranychus_urticae (CDS + UTR)	Metazoa
Tribolium_castaneum (CDS + UTR)	Metazoa
Trichinella_spiralis (CDS + UTR)	Metazoa
Trichoplax_adhaerens (CDS + UTR)	Metazoa
Zootermopsis_nevadensis (CDS + UTR)	Metazoa
Aegilops_tauschii (CDS + UTR)	Plant
Amborella_trichopoda (CDS + UTR)	Plant
Ananas_bracteatus (CDS)	Plant
Arabidopsis_halleri (CDS + UTR)	Plant
Arabidopsis_lyrata (CDS + UTR)	Plant
Arabidopsis_thaliana (CDS + UTR)	Plant
Asparagus_officinalis (CDS)	Plant
Beta_vulgaris (CDS + UTR)	Plant
Brachypodium_distachyon (CDS + UTR)	Plant
Brassica_napus (CDS + UTR)	Plant
Brassica_oleracea (CDS + UTR)	Plant
Brassica_rapa (CDS)	Plant
Cajanus_cajan (CDS)	Plant
Camelina_sativa (CDS)	Plant
Chlamydomonas_reinhardtii (CDS + UTR)	Plant
Cucumis_sativus.ChineseLong (CDS)	Plant
Cucurbita_maxima (CDS)	Plant
Cucurbita_moschata (CDS)	Plant
Cucurbita_pepo (CDS)	Plant
Cyanidioschyzon_merolae (CDS + UTR)	Plant
Daucus_carota (CDS)	Plant
Dioscorea_rotundata (CDS + UTR)	Plant
Eucalyptus_grandis (CDS)	Plant
Fragaria_orientalis (CDS)	Plant
Fragaria_vesca (CDS)	Plant
Glycine_max.Williams_82 (CDS + UTR)	Plant
Glycine_max.Zhonghuang_13 (CDS)	Plant
Helianthus_annuus (CDS + UTR)	Plant
Leersia_perrieri (CDS + UTR)	Plant
Lupinus_angustifolius (CDS + UTR)	Plant
Malus_x_domestica.HFTH1 (CDS)	Plant
Manihot_esculenta (CDS + UTR)	Plant
Musa_acuminata.Pahang (CDS)	Plant
Musa_balbisiana (CDS)	Plant
Nicotiana_attenuata (CDS + UTR)	Plant
Olea_europaea (CDS)	Plant
Oryza_barthii (CDS + UTR)	Plant
Oryza_brachyantha (CDS + UTR)	Plant
Oryza_glaberrima (CDS + UTR)	Plant
Oryza_glumaepatula (CDS + UTR)	Plant
Oryza_meridionalis (CDS + UTR)	Plant
Oryza_nivara (CDS + UTR)	Plant
Oryza_punctata (CDS + UTR)	Plant
Oryza_rufipogon (CDS + UTR)	Plant
Oryza_sativa.MH63 (CDS + UTR)	Plant
Oryza_sativa.Nipponbare (CDS + UTR)	Plant
Oryza_sativa.R498 (CDS)	Plant
Oryza_sativa.ZS97 (CDS + UTR)	Plant
Ostreococcus_lucimarinus (CDS + UTR)	Plant
Panicum_hallii.FIL2 (CDS + UTR)	Plant
Phaseolus_vulgaris.PhaVulg1_0 (CDS + UTR)	Plant
Physcomitrella_patens (CDS + UTR)	Plant
Pisum_sativum (CDS)	Plant
Populus_trichocarpa (CDS + UTR)	Plant
Prunus_avium (CDS)	Plant
Prunus_dulcis.Texas (CDS)	Plant
Prunus_persica (CDS)	Plant
Pyrus_communis (CDS)	Plant
Rosa_chinensis (CDS)	Plant
Setaria_italica (CDS + UTR)	Plant
Solanum_lycopersicum (CDS + UTR)	Plant
Sorghum_bicolor (CDS + UTR)	Plant
Theobroma_cacao (CDS)	Plant
Trifolium_pratense (CDS)	Plant
Vigna_angularis.Vigan1 (CDS + UTR)	Plant
Vigna_radiata (CDS + UTR)	Plant
Zea_mays.B73 (CDS + UTR)	Plant
Zea_mays.W22 (CDS + UTR)	Plant
Ailuropoda_melanoleuca (CDS + UTR)	Vertebrate
Amphiprion_percula (CDS + UTR)	Vertebrate
Anas_platyrhynchos_platyrhynchos (CDS + UTR)	Vertebrate
Anolis_carolinensis (CDS + UTR)	Vertebrate
Apteryx_haastii (CDS + UTR)	Vertebrate
Astatotilapia_calliptera (CDS + UTR)	Vertebrate
Astyanax_mexicanus (CDS + UTR)	Vertebrate
Betta_splendens (CDS + UTR)	Vertebrate
Bison_bison_bison (CDS + UTR)	Vertebrate
Bos_indicus_hybrid (CDS + UTR)	Vertebrate
Bos_mutus (CDS + UTR)	Vertebrate
Bos_taurus (CDS + UTR)	Vertebrate
Calidris_pugnax (CDS + UTR)	Vertebrate
Callorhinchus_milii (CDS + UTR)	Vertebrate
Canis_familiaris (CDS + UTR)	Vertebrate
Capra_hircus (CDS + UTR)	Vertebrate
Chelonoidis_abingdonii (CDS + UTR)	Vertebrate
Chlorocebus_sabaeus (CDS + UTR)	Vertebrate
Chrysemys_picta_bellii (CDS + UTR)	Vertebrate
Ciona_intestinalis (CDS + UTR)	Vertebrate
Cottoperca_gobio (CDS + UTR)	Vertebrate
Coturnix_japonica (CDS + UTR)	Vertebrate
Cricetulus_griseus_picr (CDS + UTR)	Vertebrate
Cynoglossus_semilaevis (CDS + UTR)	Vertebrate
Denticeps_clupeoides (CDS + UTR)	Vertebrate
Equus_caballus (CDS + UTR)	Vertebrate
Erpetoichthys_calabaricus (CDS + UTR)	Vertebrate
Esox_lucius (CDS + UTR)	Vertebrate
Felis_catus (CDS + UTR)	Vertebrate
Gallus_gallus (CDS + UTR)	Vertebrate
Gasterosteus_aculeatus (CDS + UTR)	Vertebrate
Gorilla_gorilla (CDS + UTR)	Vertebrate
Gouania_willdenowi (CDS + UTR)	Vertebrate
Heterocephalus_glaber_male (CDS + UTR)	Vertebrate
Homo_sapiens (CDS + UTR)	Vertebrate
Ictalurus_punctatus (CDS + UTR)	Vertebrate
Larimichthys_crocea (CDS + UTR)	Vertebrate
Lepisosteus_oculatus (CDS + UTR)	Vertebrate
Macaca_fascicularis (CDS + UTR)	Vertebrate
Macaca_mulatta (CDS + UTR)	Vertebrate
Maylandia_zebra (CDS + UTR)	Vertebrate
Meleagris_gallopavo (CDS + UTR)	Vertebrate
Microcebus_murinus (CDS + UTR)	Vertebrate
Microtus_ochrogaster (CDS + UTR)	Vertebrate
Monodelphis_domestica (CDS + UTR)	Vertebrate
Mus_caroli (CDS + UTR)	Vertebrate
Mus_musculus_129s1svimj (CDS + UTR)	Vertebrate
Mus_musculus_aj (CDS + UTR)	Vertebrate
Mus_musculus_akrj (CDS + UTR)	Vertebrate
Mus_pahari (CDS + UTR)	Vertebrate
Mus_spretus (CDS + UTR)	Vertebrate
Nomascus_leucogenys (CDS + UTR)	Vertebrate
Numida_meleagris (CDS + UTR)	Vertebrate
Oreochromis_niloticus (CDS + UTR)	Vertebrate
Ornithorhynchus_anatinus (CDS + UTR)	Vertebrate
Oryctolagus_cuniculus (CDS + UTR)	Vertebrate
Oryzias_latipes (CDS + UTR)	Vertebrate
Ovis_aries (CDS + UTR)	Vertebrate
Pan_paniscus (CDS + UTR)	Vertebrate
Pan_troglodytes (CDS + UTR)	Vertebrate
Papio_anubis (CDS + UTR)	Vertebrate
Parambassis_ranga (CDS + UTR)	Vertebrate
Parus_major (CDS + UTR)	Vertebrate
Peromyscus_maniculatus_bairdii (CDS + UTR)	Vertebrate
Poecilia_reticulata (CDS + UTR)	Vertebrate
Pongo_abelii (CDS + UTR)	Vertebrate
Rattus_norvegicus (CDS + UTR)	Vertebrate
Scophthalmus_maximus (CDS + UTR)	Vertebrate
Sus_scrofa (CDS + UTR)	Vertebrate
Taeniopygia_guttata (CDS + UTR)	Vertebrate
Takifugu_rubripes (CDS + UTR)	Vertebrate
Tetraodon_nigroviridis (CDS + UTR)	Vertebrate
Theropithecus_gelada (CDS + UTR)	Vertebrate
Xenopus_tropicalis (CDS + UTR)	Vertebrate
Xiphophorus_maculatus (CDS + UTR)	Vertebrate
Zonotrichia_albicollis (CDS + UTR)	Vertebrate
