Accession	Division	Abbre
Acyrthosiphon_pisum	Metazoa	acpm
Adineta_vaga	Metazoa	advm
Aedes_aegypti	Metazoa	aeam
Amphimedon_queenslandica	Metazoa	amqm
Anopheles_darlingi	Metazoa	andm
Anopheles_gambiae	Metazoa	angm
Anoplophora_glabripennis	Metazoa	anlm
Apis_mellifera	Metazoa	apmm
Atta_cephalotes	Metazoa	atcm
Belgica_antarctica	Metazoa	beam
Bombus_impatiens	Metazoa	boim
Bombus_terrestris	Metazoa	botm
Bombyx_mori	Metazoa	bomm
Branchiostoma_lanceolatum	Metazoa	brlm
Brugia_malayi	Metazoa	brmm
Caenorhabditis_brenneri	Metazoa	cabm
Caenorhabditis_briggsae	Metazoa	caim
Caenorhabditis_elegans	Metazoa	caem
Caenorhabditis_japonica	Metazoa	cajm
Caenorhabditis_remanei	Metazoa	carm
Capitella_teleta	Metazoa	catm
Crassostrea_gigas	Metazoa	crgm
Culex_quinquefasciatus	Metazoa	cuqm
Culicoides_sonorensis	Metazoa	cusm
Danaus_plexippus	Metazoa	dapm
Daphnia_magna	Metazoa	damm
Daphnia_pulex	Metazoa	daum
Dendroctonus_ponderosae	Metazoa	depm
Dinothrombium_tinctorium	Metazoa	ditm
Drosophila_ananassae	Metazoa	dram
Drosophila_erecta	Metazoa	drem
Drosophila_grimshawi	Metazoa	drgm
Drosophila_melanogaster	Metazoa	drmm
Drosophila_mojavensis	Metazoa	drom
Drosophila_persimilis	Metazoa	drpm
Drosophila_pseudoobscura	Metazoa	drsm
Drosophila_sechellia	Metazoa	drcm
Drosophila_simulans	Metazoa	drim
Drosophila_virilis	Metazoa	drvm
Drosophila_willistoni	Metazoa	drwm
Drosophila_yakuba	Metazoa	drym
Folsomia_candida	Metazoa	focm
Heliconius_melpomene	Metazoa	hemm
Helobdella_robusta	Metazoa	herm
Hofstenia_miamia	Metazoa	homm
Ixodes_scapularis	Metazoa	ixsm
Lepeophtheirus_salmonis	Metazoa	lesm
Leptotrombidium_deliense	Metazoa	ledm
Lingula_anatina	Metazoa	liam
Loa_loa	Metazoa	lolm
Lottia_gigantea	Metazoa	logm
Lucilia_cuprina	Metazoa	lucm
Mayetiola_destructor	Metazoa	madm
Megaselia_scalaris	Metazoa	mesm
Melitaea_cinxia	Metazoa	mecm
Mnemiopsis_leidyi	Metazoa	mnlm
Nasonia_vitripennis	Metazoa	navm
Nematostella_vectensis	Metazoa	nevm
Onchocerca_volvulus	Metazoa	onvm
Orchesella_cincta	Metazoa	orcm
Pediculus_humanus	Metazoa	pehm
Pristionchus_pacificus	Metazoa	prpm
Rhodnius_prolixus	Metazoa	rhpm
Sarcoptes_scabiei	Metazoa	sasm
Schistosoma_mansoni	Metazoa	scmm
Solenopsis_invicta	Metazoa	soim
Stegodyphus_mimosarum	Metazoa	stmm
Strigamia_maritima	Metazoa	stam
Strongylocentrotus_purpuratus	Metazoa	stpm
Strongyloides_ratti	Metazoa	strm
Teleopsis_dalmanni	Metazoa	tedm
Tetranychus_urticae	Metazoa	teum
Thelohanellus_kitauei	Metazoa	thkm
Tribolium_castaneum	Metazoa	trcm
Trichinella_spiralis	Metazoa	trsm
Trichoplax_adhaerens	Metazoa	tram
Zootermopsis_nevadensis	Metazoa	zonm
Actinidia_chinensis.Hongyang	Plant	achp
Actinidia_chinensis.Red5	Plant	acrp
Aegilops_tauschii	Plant	aetp
Amborella_trichopoda	Plant	amtp
Ananas_bracteatus.CB5	Plant	ancp
Ananas_bracteatus.F153	Plant	anfp
Ananas_bracteatus	Plant	anbp
Arabidopsis_halleri	Plant	arhp
Arabidopsis_lyrata	Plant	arlp
Arabidopsis_thaliana	Plant	artp
Asparagus_officinalis	Plant	asop
Beta_vulgaris	Plant	bevp
Brachypodium_distachyon	Plant	brdp
Brassica_napus	Plant	brnp
Brassica_oleracea	Plant	brop
Brassica_rapa	Plant	brrp
Cajanus_cajan	Plant	cacp
Camelina_sativa	Plant	casp
Castanea_mollissima	Plant	camp
Cerasus_x_yedoensis	Plant	cexp
Chlamydomonas_reinhardtii	Plant	chrp
Chondrus_crispus	Plant	chcp
Citrullus_lanatus.97103	Plant	cilp
Citrullus_lanatus.Charleston_Gray	Plant	cicp
Corchorus_capsularis	Plant	cocp
Cucumis_melo	Plant	cump
Cucumis_sativus.ChineseLong	Plant	cusp
Cucumis_sativus.PI183967	Plant	cupp
Cucurbita_argyrosperma	Plant	cuap
Cucurbita_maxima	Plant	cuxp
Cucurbita_moschata	Plant	cucp
Cucurbita_pepo	Plant	cuep
Cyanidioschyzon_merolae	Plant	cymp
Daucus_carota	Plant	dacp
Dichanthelium_oligosanthes	Plant	diop
Dioscorea_rotundata	Plant	dirp
Elaeis_guineensis	Plant	elgp
Eucalyptus_grandis	Plant	eugp
