LIR	WT_R1	WT_R2	Mut_R1	Mut_R2
osmp.Chr01:10346243--10347154,10353140--10354064	1531	1620	1231	2213
osmp.Chr01:10347089--10347966,10352589--10353505	1494	1566	1199	2161
osmp.Chr01:10348249--10350294,10350365--10352454	1536	1564	1279	2135
osmp.Chr01:10423460--10424304,10438420--10439282	22121	32344	29001	44489
osmp.Chr01:10424149--10425395,10437498--10438683	21956	32174	28866	44290
osmp.Chr01:10424677--10425309,10437475--10438085	21961	32147	28860	44261
osmp.Chr01:10428615--10432830,10433069--10437375	20750	31040	27899	42820
osmp.Chr01:10457576--10458022,10458023--10458467	2	0	2	2
osmp.Chr01:10554140--10554574,10555171--10555580	953	1337	1828	2977
osmp.Chr01:10783267--10785042,10793160--10794921	8260	8555	6022	9450
osmp.Chr01:10785235--10787931,10790015--10792725	7832	8101	5577	8722
osmp.Chr01:1079009--1080131,1083451--1084597	178	171	146	311
osmp.Chr01:10845080--10845490,10845704--10846105	307	389	526	834
osmp.Chr01:11009185--11010871,11024585--11026251	3302	4102	3414	5209
osmp.Chr01:11018487--11019088,11027004--11027591	1485	1225	1421	1587
osmp.Chr01:11019679--11021359,11024585--11026251	907	762	977	955
osmp.Chr01:11019679--11024581,11030425--11035242	1987	2030	1977	2495
osmp.Chr01:11026634--11028281,11041887--11043549	2307	2312	1867	3327
osmp.Chr01:11028276--11030427,11036583--11038734	1375	1552	1265	1991
osmp.Chr01:11033576--11035242,11043768--11045449	1705	1705	1328	2461
osmp.Chr01:11035625--11036592,11042567--11043549	1140	1025	799	1773
osmp.Chr01:1115619--1118732,1127493--1130607	1372	1100	1296	1819
osmp.Chr01:11231259--11231905,11232042--11232656	17	23	46	76
osmp.Chr01:1123470--1126584,1127493--1130607	1132	938	1195	1515
osmp.Chr01:11365069--11367051,11379404--11381361	3434	2682	2846	5545
osmp.Chr01:11367610--11368488,11378552--11379416	1848	2204	1917	4133
osmp.Chr01:1159336--1159752,1160325--1160738	968	792	912	1346
osmp.Chr01:11648365--11650028,11655752--11657396	1553	1674	1139	2720
